Name,Type,Visible,Description,Default Value
arch.debugPblockOnLoad,boolean,False,Dump pblock geometry after loading ucf,0
arch.enableTestFeatures,boolean,False,Sitemap parser loads mappings for test-only uniprims,0
bd.allowAllKeywords,boolean,False,"If set to true, tool will not disallow any keywords",0
bd.checkAdvancedAxiParams,boolean,False,Enable DRCs for advanced AXI params,0
bd.DDRComponentWidthForBMM,integer,False,Specifies the width of the DDR to use for simulation,0
bd.disableExtPortActionsInFaasFlow,boolean,False,"If this param is set, a warning will be issued on creation and renaming of external ports/intf ports",0
bd.disablePrefixForFaasIntf,boolean,False,"If set to true, tool will not add the interface name as prefix for external ports of FAAS interface.",0
bd.discoverTclFromComponent,boolean,False,Set this flag to true to use the bd.tcl location in the component.xml rather than always use bd/bd.tcl.,0
bd.enableAutoConnectionsInNoc,boolean,False,"If set to true, CONNECTIONS parameter will be auto-populated in 1-n and n-1 configurations, when get_bd_intf_pins is used with the -auto_enable switch",0
bd.enableBroadcastIntf,boolean,False,Enable connecting interfaces as broadcast,0
bd.enableEverestFlow,boolean,False,"If set to true, Everest NOC Compiler Flow, Designer Assistance etc. will be enabled",0
bd.enableGTBlockAutomation,boolean,False,"If set to true, Everest GT bridge IP Block Automation is enabled",1
bd.enableIpSharedDirectory,boolean,False,Enable IP shared directory for delivery of shared output products under BD flow,1
bd.enableNestedTeamBD,boolean,False,Allow nesting of team BD blocks. (Default = false),0
bd.EnablePfmGUI,boolean,False,"If set to true, tool will enable PFM GUI",1
bd.enablePRAutomation,boolean,False,Enable Designer Assistance for partition BD-cells,0
bd.enableTeamBD,coalescedboolean,False,"If set to true, tool will enable team bd feature",0
bd.generateSynthesisNetlist,boolean,False,"If set to true, tool will generate HDL by excluding objects which have the parameter IN_SYNTH_HDL set to NO.",1
bd.nocCompilerDevice,string,False,"By default, NOC compiler always uses M20. Use this param to change it.",None
bd.siliconEmuFlow,boolean,False,"If set to true, from/to concatenated ports will be enabled on some IPs(like PS, NMU, NSU, LNOC etc.)",0
bd.skipLockedIPCheck,boolean,False,"If set to TRUE, the check for locked IPs when setting parameters and generating the design is skipped.",0
bd.skipResetClkMismatchCheck,boolean,False,"If set to true, check for mismatch between clock-domains of reset-pin's associated clock and reset pin's synchronizing clock is skipped",0
bd.skipUnConnPinsCheck,boolean,False,"If set to TRUE, the check for unconnected pins when validating/generating the design is skipped.",0
bd.suppressValidationErrorMsgs,boolean,False,Disables the validation messages when setting parameters,0
bd.upgradeInterpDirty,boolean,False,Set this flag to true to mark the TCL interp for a given VLNV as dirty.,0
bd.useXspiceForParam,boolean,False,Use Xspice to validate parameter value,1
bd.useXspiceForParamProp,boolean,False,Use Xspice to validate parameter value for parameter propagation,0
bd.verboseTclErr,boolean,False,If set to true will output tcl error stack,0
bd.writeHdlComments,boolean,False,"If set to true, tool will write user comments to generated HDL",1
bitgen.diablo.applyHalfLatchMuxFix,boolean,False,Apply fix for Half Latch PR issue,1
